id;nome_disciplina;id_user
1;indigo B2B Sleek;d85b3562-0dba-4f5f-908d-1858dfbfe6dc
2;Chair parsing;b5432aff-2854-4d86-a0a9-e296b6e5439d
3;compelling Home Loan Account Manager;612a8878-e5cc-4801-95c5-e71aba0aa0d8
4;Consultant Planner;176e9f9b-e396-48ed-8d4b-cc3d5b1ce7bd
5;transition Implementation;20c29ec8-041d-4d3e-b875-6886e2374515
6;New Zealand Dollar Health;9207822c-57b6-4a34-9225-65d972e2a967
7;District;229a1f09-fc4d-4a05-8a9e-c56dd25d4706
8;Cayman Islands Dollar e-services bluetooth;2a5bdaa0-bf85-4560-b47d-81c91ed634ff
9;National Bedfordshire;4e3e4b65-1143-4689-aafe-9fc55c04f1cf
10;connect;59ad3255-e69d-46b1-91ac-d0dc66be8cdd
